production,img,hit,subject_np,vp,subject_np_head,vp_head
A small baby wears a hat and sleeps.,5326961690.jpg,1,A small baby, wears a hat and sleeps.,baby,wears
A baby girl is napping on a soft piece of fabric.,5326961690.jpg,1,A baby girl,is napping on a soft piece of fabric.,girl,napping
A baby is sleeping,5326961690.jpg,1,A baby,is sleeping,baby,sleeping
A newborn baby sleeps,5326961690.jpg,1,A newborn baby, sleeps,baby,sleeps
An infant in a pink crocheted hat is sleeping.,5326961690.jpg,1,An infant in a pink crocheted hat,is sleeping.,infant,sleeping
A baby is sleeping on her stomach wearing nothing but a hat,5326961690.jpg,1,A baby,is sleeping on her stomach wearing nothing but a hat,baby,sleeping
a baby is sleeping.,5326961690.jpg,1,a baby,is sleeping.,baby,sleeping
A young naked baby is sleeping.,5326961690.jpg,1,A young naked baby,is sleeping.,baby,sleeping
A very young infant is sleeping.,5326961690.jpg,1,A very young infant,is sleeping.,infant,sleeping
A baby with a hat is sleeping soundly.,5326961690.jpg,1,A baby with a hat,is sleeping soundly.,baby,sleeping
A baby with a pink knit hat is sleeping on a blanket.,5326961690.jpg,1,A baby with a pink knit hat,is sleeping on a blanket.,baby,sleeping
A young baby wearing a purple crochet hat is sleeping on some very soft cloth.,5326961690.jpg,1,A young baby,is sleeping on some very soft cloth.,baby,sleeping
A woman is cutting a man's hair.,6681702227.jpg,1,A woman,is cutting a man's hair.,woman,cutting
a girl cutting a mans hair,6681702227.jpg,1,a girl, cutting a man's hair,girl,cutting
A lady cuts a man's hair.,6681702227.jpg,1,A lady, cuts a man's hair.,lady,cuts
A woman wearing a tank top is cutting a man's hair with scissors.,6681702227.jpg,1,A woman,is cutting a man's hair with scissors.,woman,cutting
A woman is cutting a man's hair.,6681702227.jpg,1,A woman,is cutting a man's hair.,woman,cutting
A woman is cutting a mans hair.,6681702227.jpg,1,A woman,is cutting a man's hair.,woman,cutting
A man is getting his hair cut by a woman.,6681702227.jpg,1,A man,is getting his hair cut by a woman.,man,getting
A woman is cutting hair,6681702227.jpg,1,A woman,is cutting hair,woman,cutting
A young man is getting his hair cut.,6681702227.jpg,1,A young man,is getting his hair cut.,man,getting
A women is cutting a man's hair,6681702227.jpg,1,A woman,is cutting a man's hair,women,cutting
A beautician is cutting a mans hair.,6681702227.jpg,1,A beautician,is cutting a man's hair.,beautician,cutting
A woman cuts a man's hair,6681702227.jpg,1,A woman, cuts a man's hair,woman,cuts
A woman is giving a man a haircut.,6681702227.jpg,1,A woman,is giving a man a haircut.,woman,giving
A woman is giving a man a hair cut.,6681702227.jpg,1,A woman,is giving a man a hair cut.,woman,giving
A woman is giving a man a haircut on stage.,6681702227.jpg,1,A woman,is giving a man a haircut on stage.,woman,giving
A man is getting his hair trimmed by a woman.,6681702227.jpg,1,A man,is getting his hair trimmed by a woman.,man,getting
A woman is giving a man a haircut on stage.,6681702227.jpg,1,A woman,is giving a man a haircut on stage.,woman,giving
A woman is cutting the hair of a man in front of a screen.,6681702227.jpg,1,A woman,is cutting the hair of a man in front of a screen.,woman,cutting
A lady cuts a man's hair.,6681702227.jpg,1,A lady, cuts a man's hair.,lady,cuts
A woman cuts a mans hair.,6681702227.jpg,1,A woman, cuts a man's hair.,woman,cuts
A woman is cutting a mans hair,6681702227.jpg,1,A woman,is cutting a man's hair,woman,cutting
A man is seated while a woman is cutting his hair.,6681702227.jpg,1,A man,is seated while a woman is cutting his hair.,man,is
A woman is cutting a man's hair.,6681702227.jpg,1,A woman,is cutting a man's hair.,woman,cutting
a woman is cutting the hair of a man.,6681702227.jpg,1,a woman,is cutting the hair of a man.,woman,cutting
A woman is cutting a man's hair.,6681702227.jpg,1,A woman,is cutting a man's hair.,woman,cutting
she is hair cutting,6681702227.jpg,1,she, is hair cutting,she,hair cutting
A woman gives a man a haircut.,6681702227.jpg,1,A woman, gives a man a haircut.,woman,gives
A man is getting his hair cut by a woman.,6681702227.jpg,1,A man,is getting his hair cut by a woman.,man,getting
A woman is giving a man a haircut.,6681702227.jpg,1,A woman,is giving a man a haircut.,woman,giving
A man is sitting near the water and smoking a pipe,4597303045.jpg,1,A man,is sitting near the water and smoking a pipe,man,sitting
A man sits perched while appearing to be deep in thought.,4597303045.jpg,1,A man, sits perched while appearing to be deep in thought.,man,sits
A man is smoking a pipe inquisitively,4597303045.jpg,1,A man,is smoking a pipe inquisitively,man,smoking
An older man is sitting down and smoking a pipe.,4597303045.jpg,1,An older man,is sitting down and smoking a pipe.,man,sitting
A japanese man sits upon a rock holding a pipe in his mouth.,4597303045.jpg,1,A japanese man, sits upon a rock holding a pipe in his mouth.,man,sits
A man is sitting on some rocks near the shore and is smoking a pipe.,4597303045.jpg,1,A man,is sitting on some rocks near the shore and is smoking a pipe.,man,sitting
A man is smoking.,4597303045.jpg,1,A man,is smoking.,man,smoking
A man is smoking a pipe near the water.,4597303045.jpg,1,A man,is smoking a pipe near the water.,man,smoking
A man in sandals is sitting near a body of water.,4597303045.jpg,1,A man in sandals,is sitting near a body of water.,man,sitting
sitting on beach,4597303045.jpg,1,, sitting on beach,,sitting
A middle aged Asian man wearing light blue shirt and khaki pants with sandals sits on a rock smoking a pipe.,4597303045.jpg,1,A middle aged Asian man, sits on a rock smoking a pipe.,man,sits
A man is sitting outside chewing on something,4597303045.jpg,1,A man,is sitting outside chewing on something,man,sitting
A man is smoking a pipe,4597303045.jpg,1,A man,is smoking a pipe,man,smoking
A man is sitting and smoking a pipe.,4597303045.jpg,1,A man,is sitting and smoking a pipe.,man,sitting
a man is sitting with a pipe in his mouth.,4597303045.jpg,1,a man,is sitting with a pipe in his mouth.,man,sitting
A man is smoking a pipe at the beach.,4597303045.jpg,1,A man,is smoking a pipe at the beach.,man,smoking
A man is sitting on a rock and smoking a pipe.,4597303045.jpg,1,A man,is sitting on a rock and smoking a pipe.,man,sitting
A man is smoking from a pipe at the beach.,4597303045.jpg,1,A man,is smoking from a pipe at the beach.,man,smoking
A man is smoking a pipe near the water.,4597303045.jpg,1,A man,is smoking a pipe near the water.,man,smoking
A man is sitting near water smoking a pipe.,4597303045.jpg,1,A man,is sitting near water smoking a pipe.,man,sitting
A sitting man is smoking a pipe.,4597303045.jpg,1,A sitting man,is smoking a pipe.,man,smoking
A man is smoking a pipe while sitting outside.,4597303045.jpg,1,A man,is smoking a pipe while sitting outside.,man,smoking
"A man sits on the seashore, smoking a pipe.",4597303045.jpg,1,A man," sits on the seashore, smoking a pipe.",man,sits
A man smokes a pipe while sitting on a rock at the coast.,4597303045.jpg,1,A man, smokes a pipe while sitting on a rock at the coast.,man,smokes
A man is sitting down near a marsh looking down.,4597303045.jpg,1,A man,is sitting down near a marsh looking down.,man,sitting
A man is sitting by the beach while contemplating.,4597303045.jpg,1,A man,is sitting by the beach while contemplating.,man,sitting
A man is sitting on a rock by the sea smoking a pipe.,4597303045.jpg,1,A man,is sitting on a rock by the sea smoking a pipe.,man,sitting
a guy smoking,4597303045.jpg,1,a guy, smoking,guy,smoking
A boy is smoking a pipe.,4597303045.jpg,1,A boy,is smoking a pipe.,boy,smoking
A woman wearing a white shirt and blue tie is playing a trumpet.,381760243.jpg,1,A woman,is playing a trumpet.,woman,playing
A woman is playing a trombone,381760243.jpg,1,A woman,is playing a trombone,woman,playing
A woman is playing a trombone.,381760243.jpg,1,A woman,is playing a trombone.,woman,playing
A women with a trombone performing in a concert.,381760243.jpg,1,A woman with a trombone, performing in a concert,woman,performing
A woman is playing the trombone.,381760243.jpg,1,A woman,is playing the trombone.,woman,playing
A girl is playing a trombone solo into a microphone.,381760243.jpg,1,A girl,is playing a trombone solo into a microphone.,girl,playing
A woman plays the trumpet in front of a microphone.,381760243.jpg,1,A woman, plays the trumpet in front of a microphone.,woman,plays
A woman is playing the trumpet,381760243.jpg,1,A woman,is playing the trumpet,woman,playing
A girl is playing a trumpet.,381760243.jpg,1,A girl,is playing a trumpet.,girl,playing
A woman is playing a solo piece on her trumpet into a microphone.,381760243.jpg,1,A woman,is playing a solo piece on her trumpet into a microphone.,woman,playing
A woman is playing the trombone.,381760243.jpg,1,A woman,is playing the trombone.,woman,playing
a girl playing the trumpet,381760243.jpg,1,a girl, playing the trumpet,girl,playing
A woman is playing a horn.,381760243.jpg,1,A woman,is playing a horn.,woman,playing
A girl plays trombone.,381760243.jpg,1,A girl, plays trombone.,girl,plays
A woman plays a musical instrument.,381760243.jpg,1,A woman, plays a musical instrument.,woman,plays
A woman in a blue tie is playing a trombone into a microphone.,381760243.jpg,1,A woman in a blue tie,is playing a trombone into a microphone.,woman,playing
she is play trumpet,381760243.jpg,1,she,is playing trumpet,she,playing
A woman is playing a trombone.,381760243.jpg,1,A woman,is playing a trombone.,woman,playing
A woman is playing a trombone into the microphone.,381760243.jpg,1,A woman,is playing a trombone into the microphone.,woman,playing
A girl plays the trombone,381760243.jpg,1,A girl, plays the trombone,girl,plays
A woman is playing an instrument in a room and there are two people behind her.,381760243.jpg,1,A woman,is playing an instrument in a room and there are two people behind her.,woman,playing
A woman is playing her trombone into a microphone.,381760243.jpg,1,A woman,is playing her trombone into a microphone.,woman,playing
a woman is playing trumpet.,381760243.jpg,1,a woman,is playing trumpet.,woman,playing
A woman is playing a trumpet in a concert.,381760243.jpg,1,A woman,is playing a trumpet in a concert.,woman,playing
A woman is playing the trombone.,381760243.jpg,1,A woman,is playing the trombone.,woman,playing
A woman plays a trombone at a microphone.,381760243.jpg,1,A woman, plays a trombone at a microphone.,woman,plays
A woman is playing the trombone and her cheeks are puffy.,381760243.jpg,1,A woman,is playing the trombone and her cheeks are puffy.,woman,playing
A woman is playing a trumpet.,381760243.jpg,1,A woman,is playing a trumpet.,woman,playing
A person is playing the trombone.,381760243.jpg,1,A person,is playing the trombone.,person,playing
A woman is taking a bicycle off a path.,3676460610.jpg,1,A woman,is taking a bicycle off a path.,woman,taking
A woman riding a bike down a path into a large field.,3676460610.jpg,1,A woman, riding a bike down a path into a large field,woman,riding
A woman wearing a blue tank top and black workout pants is riding a bike on a trail with bushes everywhere.,3676460610.jpg,1,A woman,is riding a bike on a trail with bushes everywhere.,woman,riding
A person rides the beaten path on a bike through a field.,3676460610.jpg,1,A person, rides the beaten path on a bike through a field.,person,rides
A person is biking.,3676460610.jpg,1,A person,is biking.,person,biking
A woman riding her bike on a road in a field.,3676460610.jpg,1,A woman, riding her bike on a road in a field,woman,riding
ride on bicycle,3676460610.jpg,1,, ride on bicycle,,ride
A woman is mountain biking outdoors,3676460610.jpg,1,A woman, is mountain biking outdoors,woman,biking
A woman is biking in a lush green field by her lonesome.,3676460610.jpg,1,A woman,is biking in a lush green field by her lonesome.,woman,biking
A woman riding a bike down a trail.,3676460610.jpg,1,A woman, riding a bike down a trail,woman,riding
A woman is riding her bike is a field.,3676460610.jpg,1,A woman,is riding her bike in a field.,woman,riding
